"","X1","STATE","STATE.ABBREVIATION","DISTRICT","FEC.ID.","incumbent","candidate.first","candidate.last","candidate.name","TOTAL.VOTES","PARTY","PRIMARY","primary.perc","RUNOFF","runoff.perc","GENERAL","GE.perc","GE.RUNOFF","GE.RUNOFF..","COMBINED.GE.PARTY.TOTALS..CT..NY.","COMBINED....CT..NY.","FOOTNOTES","year"
"2015",2016,"Nebraska","NE","02","H8NE02212","","Richard N.","Carter","Carter, Richard N.","","N(D)","72","21.69%","","","","","","","","","","2008"
"2018",2019,"Nebraska","NE","03","H6NE03115","(I)","Adrian","Smith","Smith, Adrian","","R","55,129","87.44%","","","183,117","76.87%","","","","","","2008"
"2019",2020,"Nebraska","NE","03","H8NE03079","","Jeremiah","Ellison","Ellison, Jeremiah","","R","7,918","12.56%","","","","","","","","","","2008"
"2021",2022,"Nebraska","NE","03","H6NE03115","(I)","Adrian","Smith","Smith, Adrian","","N(R)","96","76.80%","","","","","","","","","","2008"
"2022",2023,"Nebraska","NE","03","H8NE03079","","Jeremiah","Ellison","Ellison, Jeremiah","","N(R)","29","23.20%","","","","","","","","","","2008"
"2024",2025,"Nebraska","NE","03","H8NE03053","","Jay C.","Stoddard","Stoddard, Jay C.","","D","17,668","74.30%","","","55,087","23.13%","","","","","","2008"
"2025",2026,"Nebraska","NE","03","H8NE03061","","Paul A.","Spatz","Spatz, Paul A.","","D","6,110","25.70%","","","","","","","","","","2008"
"2027",2028,"Nebraska","NE","03","H8NE03053","","Jay C.","Stoddard","Stoddard, Jay C.","","N(D)","91","73.98%","","","","","","","","","","2008"
"2028",2029,"Nebraska","NE","03","H8NE03061","","Paul A.","Spatz","Spatz, Paul A.","","N(D)","32","26.02%","","","","","","","","","","2008"
"2032",2033,"Nebraska","NE","S","S8NE00117","","Mike ","Johanns","Johanns, Mike ","","R","111,455","78.09%","","","455,854","57.52%","","","","","","2008"
"2033",2034,"Nebraska","NE","S","S8NE00109","","Pat ","Flynn","Flynn, Pat ","","R","31,271","21.91%","","","","","","","","","","2008"
"2035",2036,"Nebraska","NE","S","S8NE00117","","Mike ","Johanns","Johanns, Mike ","","N(R)","736","71.80%","","","","","","","","","","2008"
"2036",2037,"Nebraska","NE","S","S8NE00109","","Pat ","Flynn","Flynn, Pat ","","N(R)","289","28.20%","","","","","","","","","","2008"
"2038",2039,"Nebraska","NE","S","S8NE00133","","Scott ","Kleeb","Kleeb, Scott ","","D","64,468","68.66%","","","317,456","40.06%","","","","","","2008"
"2039",2040,"Nebraska","NE","S","S8NE00125","","Tony ","Raimondo","Raimondo, Tony ","","D","23,617","25.15%","","","","","","","","","","2008"
"2040",2041,"Nebraska","NE","S","S8NE00158","","James Bryan","Wilson","Wilson, James Bryan","","D","3,179","3.39%","","","","","","","","","","2008"
"2041",2042,"Nebraska","NE","S","S8NE00141","","Larry ","Marvin","Marvin, Larry ","","D","2,629","2.80%","","","","","","","","","","2008"
"2043",2044,"Nebraska","NE","S","S8NE00133","","Scott ","Kleeb","Kleeb, Scott ","","N(D)","1,114","64.54%","","","","","","","","","","2008"
"2044",2045,"Nebraska","NE","S","S8NE00125","","Tony ","Raimondo","Raimondo, Tony ","","N(D)","524","30.36%","","","","","","","","","","2008"
"2045",2046,"Nebraska","NE","S","S8NE00158","","James Bryan","Wilson","Wilson, James Bryan","","N(D)","45","2.61%","","","","","","","","","","2008"
"2046",2047,"Nebraska","NE","S","S8NE00141","","Larry ","Marvin","Marvin, Larry ","","N(D)","43","2.49%","","","","","","","","","","2008"
"2048",2049,"Nebraska","NE","S","S8NE00174","","Kelly Renee","Rosberg","Rosberg, Kelly Renee","","NB","123","100.00%","","","11,438","1.44%","","","","","","2008"
"2050",2051,"Nebraska","NE","S","S8NE00175","","Kelly Renee","Rosberg","Rosberg, Kelly Renee","","N(NB)","86","100.00%","","","","","","","","","","2008"
"2052",2053,"Nebraska","NE","S","S8NE00166","","Steven R.","Larrick","Larrick, Steven R.","","GRE","92","100.00%","","","7,763","0.98%","","","","","","2008"
"2054",2055,"Nebraska","NE","S","S8NE00167","","Steven R.","Larrick","Larrick, Steven R.","","N(GRE)","31","100.00%","","","","","","","","","","2008"
"2057",2058,"Nevada","NV","01","H8NV01071","(I)","Shelley","Berkley","Berkley, Shelley","","D","19,444","89.74%","","","154,860","67.65%","","","","","","2008"
"2058",2059,"Nevada","NV","01","H8NV01204","","Mark John, Jr.","Budetich","Budetich, Mark John, Jr.","","D","2,222","10.26%","","","","","","","","","","2008"
"2060",2061,"Nevada","NV","01","H6NV01158","","Kenneth","Wegner","Wegner, Kenneth","","R","4,359","34.65%","","","64,837","28.32%","","","","","","2008"
"2061",2062,"Nevada","NV","01","H4NV01112","","Russ","Mickelson","Mickelson, Russ","","R","2,490","19.79%","","","","","","","","","","2008"
"2062",2063,"Nevada","NV","01","H8NV01196","","Chris","Dyer","Dyer, Chris","","R","1,847","14.68%","","","","","","","","","","2008"
"2063",2064,"Nevada","NV","01","H8NV01212","","Eve ""No. 1 Mom""","Ellingwood","Ellingwood, Eve ""No. 1 Mom""","","R","1,137","9.04%","","","","","","","","","","2008"
"2064",2065,"Nevada","NV","01","H8NV01238","","Ray J.","Kornfield","Kornfield, Ray J.","","R","1,090","8.66%","","","","","","","","","","2008"
"2065",2066,"Nevada","NV","01","H8NV01246","","Mike","Powers","Powers, Mike","","R","896","7.12%","","","","","","","","","","2008"
"2066",2067,"Nevada","NV","01","H8NV01220","","Edward ""Mr. Clean""","Hamilton","Hamilton, Edward ""Mr. Clean""","","R","761","6.05%","","","","","","","","","","2008"
"2068",2069,"Nevada","NV","01","H8NV01253","","Caren","Alexander","Alexander, Caren","","IAP","*","","","","4,697","2.05%","","","","","","2008"
"2069",2070,"Nevada","NV","01","H4NV01138","","Raymond James, Jr.","Duensing","Duensing, Raymond James, Jr.","","LBT","*","","","","4,528","1.98%","","","","","","2008"
"2071",2072,"Nevada","NV","02","H6NV02164","(I)","Dean","Heller","Heller, Dean","","R","43,112","86.02%","","","170,771","51.82%","","","","","","2008"
"2072",2073,"Nevada","NV","02","H8NV02053","","James W.","Smack","Smack, James W.","","R","7,009","13.98%","","","","","","","","","","2008"
"2074",2075,"Nevada","NV","02","H6NV02180","","Jill","Derby","Derby, Jill","","D","Unopposed","","","","136,548","41.44%","","","","","","2008"
"2075",2076,"Nevada","NV","02","H8NV02079","","John","Everhart","Everhart, John","","IAP","n/a","","","","11,179","3.39%","","","","","","2008"
"2076",2077,"Nevada","NV","02","H8NV02087","","Sean Patrick","Morse","Morse, Sean Patrick","","LBT","n/a","","","","5,740","1.74%","","","","","","2008"
"2077",2078,"Nevada","NV","02","H8NV02061","","Craig","Bergland","Bergland, Craig","","GRE","*","","","","5,282","1.60%","","","","","","2008"
"2079",2080,"Nevada","NV","03","H8NV03036","","Dina","Titus","Titus, Dina","","D","22,232","84.71%","","","165,912","47.43%","","","","","","2008"
"2080",2081,"Nevada","NV","03","H6NV03014","","Barry","Michaels","Michaels, Barry","","D","2,312","8.81%","","","","","","","","","","2008"
"2081",2082,"Nevada","NV","03","H6NV03030","","Anna","Nevenic","Nevenic, Anna","","D","1,114","4.24%","","","","","","","","","","2008"
"2082",2083,"Nevada","NV","03","H8NV03044","","Carlo ""Tex""","Poliak","Poliak, Carlo ""Tex""","","D","587","2.24%","","","","","","","","","","2008"
"2084",2085,"Nevada","NV","03","H0NV01078","(I)","Jon","Porter","Porter, Jon","","R","21,955","81.63%","","","147,940","42.29%","","","","","","2008"
"2085",2086,"Nevada","NV","03","H8NV03069","","Jesse","Law","Law, Jesse","","R","3,030","11.27%","","","","","","","","","","2008"
"2086",2087,"Nevada","NV","03","H8NV03051","","Carl","Bunce","Bunce, Carl","","R","1,911","7.11%","","","","","","","","","","2008"
"2088",2089,"Nevada","NV","03","H8NV03093","","Jeffrey C.","Reeves","Reeves, Jeffrey C.","","I","n/a","","","","14,922","4.27%","","","","","","2008"
"2089",2090,"Nevada","NV","03","H4NV03076","","Joseph P.","Silvestri","Silvestri, Joseph P.","","LBT","*","","","","10,164","2.91%","","","","","","2008"
"2090",2091,"Nevada","NV","03","H8NV03085","","Floyd","Fitzgibbons","Fitzgibbons, Floyd","","IAP","*","","","","6,937","1.98%","","","","","","2008"
"2091",2092,"Nevada","NV","03","H8NV03077","","Bob","Giaquinta","Giaquinta, Bob","","GRE","*","","","","3,937","1.13%","","","","","","2008"
"2094",2095,"New Hampshire","NH","01","H6NH01230","(I)","Carol","Shea-Porter","Shea-Porter, Carol","","D","20,839","98.22%","","","176,435","51.73%","","","","","","2008"
"2095",2096,"New Hampshire","NH","01","H2NH01130","","Jeb","Bradley","Bradley, Jeb","","W(D)","162","0.76%","","","","","","","","","","2008"
"2096",2097,"New Hampshire","NH","01","H2NH01163","","John","Stephen","Stephen, John","","W(D)","127","0.60%","","","","","","","","","","2008"
"2099",2100,"New Hampshire","NH","01","H2NH01130","","Jeb","Bradley","Bradley, Jeb","","R","18,559","51.04%","","","156,338","45.84%","","","","","","2008"
"2100",2101,"New Hampshire","NH","01","H2NH01163","","John","Stephen","Stephen, John","","R","16,766","46.11%","","","","","","","","","","2008"
"2101",2102,"New Hampshire","NH","01","H8NH01137","","Geoff","Michael","Michael, Geoff","","R","534","1.47%","","","","","","","","","","2008"
"2102",2103,"New Hampshire","NH","01","H6NH01255","","""Dave""","Jarvis","Jarvis, ""Dave""","","R","414","1.14%","","","","","","","","","","2008"
"2103",2104,"New Hampshire","NH","01","H6NH01230","(I)","Carol","Shea-Porter","Shea-Porter, Carol","","W(R)","46","0.13%","","","","","","","","","","2008"
"2104",2105,"New Hampshire","NH","01","H2NH01130","","Jeb","Bradley","Bradley, Jeb","","W(R)","43","0.12%","","","","","","","","","","2008"
"2106",2107,"New Hampshire","NH","01","H8NH01145","","Robert","Kingsbury","Kingsbury, Robert","","LBT","n/a","","","","8,100","2.37%","","","","","","2008"
"2109",2110,"New Hampshire","NH","02","H4NH02175","(I)","Paul W.","Hodes","Hodes, Paul W.","","D","22,638","98.56%","","","188,332","56.40%","","","","","","2008"
"2111",2112,"New Hampshire","NH","02","H8NH02200","","""Bob""","Clegg","Clegg, ""Bob""","","W(D)","59","0.26%","","","","","","","","","","2008"
"2112",2113,"New Hampshire","NH","02","H8NH02192","","Jennifer","Horn","Horn, Jennifer","","W(D)","56","0.24%","","","","","","","","","","2008"
"2113",2114,"New Hampshire","NH","02","H8NH02184","","""Jim""","Steiner","Steiner, ""Jim""","","W(D)","46","0.20%","","","","","","","","","","2008"
"2114",2115,"New Hampshire","NH","02","H8NH02218","","Grant","Bosse","Bosse, Grant","","W(D)","18","0.08%","","","","","","","","","","2008"
"2116",2117,"New Hampshire","NH","02","H8NH02192","","Jennifer","Horn","Horn, Jennifer","","R","12,726","40.05%","","","138,222","41.40%","","","","","","2008"
"2117",2118,"New Hampshire","NH","02","H8NH02200","","""Bob""","Clegg","Clegg, ""Bob""","","R","10,771","33.90%","","","","","","","","","","2008"
"2118",2119,"New Hampshire","NH","02","H8NH02184","","""Jim""","Steiner","Steiner, ""Jim""","","R","4,582","14.42%","","","","","","","","","","2008"
"2119",2120,"New Hampshire","NH","02","H8NH02218","","Grant","Bosse","Bosse, Grant","","R","2,974","9.36%","","","","","","","","","","2008"
"2120",2121,"New Hampshire","NH","02","H8NH02226","","Alfred","L'Eplattenier","L'Eplattenier, Alfred","","R","547","1.72%","","","","","","","","","","2008"
"2122",2123,"New Hampshire","NH","02","H4NH02175","(I)","Paul W.","Hodes","Hodes, Paul W.","","W(R)","61","0.19%","","","","","","","","","","2008"
"2124",2125,"New Hampshire","NH","02","H8NH02234","","Chester L., II","Lapointe","Lapointe, Chester L., II","","LBT","n/a","","","","7,121","2.13%","","","","","","2008"
"2128",2129,"New Hampshire","NH","S","S0NH00219","","Jeanne","Shaheen","Shaheen, Jeanne","","D","42,968","88.31%","","","358,438","51.59%","","","","","","2008"
"2129",2130,"New Hampshire","NH","S","S8NH00170","","Raymond","Stebbins","Stebbins, Raymond","","D","5,281","10.85%","","","","","","","","","","2008"
"2130",2131,"New Hampshire","NH","S","S0NH00201","(I)","John E.","Sununu","Sununu, John E.","","W(D)","235","0.48%","","","","","","","","","","2008"
"2133",2134,"New Hampshire","NH","S","S0NH00201","(I)","John E.","Sununu","Sununu, John E.","","R","60,852","88.68%","","","314,403","45.25%","","","","","","2008"
"2134",2135,"New Hampshire","NH","S","S4NH00062","","Tom","Alciere","Alciere, Tom","","R","7,084","10.32%","","","","","","","","","","2008"
"2135",2136,"New Hampshire","NH","S","S0NH00219","","Jeanne","Shaheen","Shaheen, Jeanne","","W(R)","517","0.75%","","","","","","","","","","2008"
"2137",2138,"New Hampshire","NH","S","S8NH00170","","Raymond","Stebbins","Stebbins, Raymond","","W(R)","3","0.00%","","","","","","","","","","2008"
"2139",2140,"New Hampshire","NH","S","S2NH00157","","""Ken""","Blevens","Blevens, ""Ken""","","LBT","n/a","","","","21,516","3.10%","","","","","","2008"
"2141",2142,"New Hampshire","NH","S","","","","Scattered","Scattered","","W","","","","","430","0.06%","","","","","","2008"
"2143",2144,"New Jersey","NJ","01","H0NJ01066","(I)","Robert E.","Andrews","Andrews, Robert E. #","","D","#","","","","206,453","72.40%","","","","","  # Camille Andrews withdrew after the primary election and Robert Andrews was selected by the party to fill the vacancy on the general election ballot.","2008"
"2144",2145,"New Jersey","NJ","01","H8NJ01143","","Camille S. ","Andrews","Andrews, Camille S. #","","D","32,108","83.03%","","","","","","","","","  # Camille Andrews withdrew after the primary election and Robert Andrews was selected by the party to fill the vacancy on the general election ballot.","2008"
"2145",2146,"New Jersey","NJ","01","H8NJ01127","","Mahdi ","Ibn-Ziyad","Ibn-Ziyad, Mahdi ","","D","2,222","5.75%","","","","","","","","","","2008"
"2146",2147,"New Jersey","NJ","01","H8NJ01150","","John ","Caramanna","Caramanna, John ","","D","4,342","11.23%","","","","","","","","","","2008"
"2148",2149,"New Jersey","NJ","01","H8NJ01135","","Dale M.","Glading","Glading, Dale M.","","R","5,873","82.27%","","","74,001","25.95%","","","","","","2008"
"2149",2150,"New Jersey","NJ","01","H8NJ01176","","Fernando ","Powers","Powers, Fernando ","","R","1,266","17.73%","","","","","","","","","","2008"
"2151",2152,"New Jersey","NJ","01","H8NJ01218","","Matthew","Thieke","Thieke, Matthew","","GRE","n/a","","","","1,927","0.68%","","","","","","2008"
"2152",2153,"New Jersey","NJ","01","H8NJ01192","","Margaret M.","Chapman","Chapman, Margaret M.","","BBA","n/a","","","","1,258","0.44%","","","","","","2008"
"2153",2154,"New Jersey","NJ","01","H8NJ01200","","Everitt M., III","Williams","Williams, Everitt M., III","","THI","n/a","","","","1,010","0.35%","","","","","","2008"
"2154",2155,"New Jersey","NJ","01","H8NJ01184","","Alvin, Jr.","Lindsay","Lindsay, Alvin, Jr.","","LFC","n/a","","","","508","0.18%","","","","","","2008"
"2156",2157,"New Jersey","NJ","02","H2NJ02037","(I)","Frank A. ","Lo Biondo","Lo Biondo, Frank A. ","","R","16,026","88.78%","","","167,701","59.06%","","","","","","2008"
"2157",2158,"New Jersey","NJ","02","H8NJ02109","","Donna M. ","Ward","Ward, Donna M. ","","R","2,025","11.22%","","","","","","","","","","2008"
"2159",2160,"New Jersey","NJ","02","H8NJ02091","","David ","Kurkowski","Kurkowski, David ","","D","16,465","100.00%","","","110,990","39.09%","","","","","","2008"
"2161",2162,"New Jersey","NJ","02","H8NJ02125","","Jason M.","Grover","Grover, Jason M.","","GRE","n/a","","","","1,763","0.62%","","","","","","2008"
"2162",2163,"New Jersey","NJ","02","H8NJ02117","","Peter F.","Boyce","Boyce, Peter F.","","CNJ","n/a","","","","1,551","0.55%","","","","","","2008"
"2163",2164,"New Jersey","NJ","02","H8NJ02133","","Gary","Stein","Stein, Gary","","RTB","n/a","","","","1,312","0.46%","","","","","","2008"
"2164",2165,"New Jersey","NJ","02","H0NJ02098","","Costantino","Rozzo","Rozzo, Costantino","","SUS","n/a","","","","648","0.23%","","","","","","2008"
"2166",2167,"New Jersey","NJ","03","H8NJ03156","","John ","Adler","Adler, John ","","D","18,130","100.00%","","","166,390","52.08%","","","","","","2008"
"2168",2169,"New Jersey","NJ","03","H8NJ03172","","Chris","Myers","Myers, Chris","","R","12,694","49.36%","","","153,122","47.92%","","","","","","2008"
"2169",2170,"New Jersey","NJ","03","H8NJ03164","","John P.","Kelly","Kelly, John P.","","R","6,531","25.39%","","","","","","","","","","2008"
"2170",2171,"New Jersey","NJ","03","H8NJ03180","","Justin Michael","Murphy","Murphy, Justin Michael","","R","6,494","25.25%","","","","","","","","","","2008"
"2173",2174,"New Jersey","NJ","04","H8NJ04014","(I)","Christopher H. ","Smith","Smith, Christopher H. ","","R","16,818","100.00%","","","202,972","66.21%","","","","","","2008"
"2175",2176,"New Jersey","NJ","04","H8NJ04147","","Joshua M.","Zeitz","Zeitz, Joshua M.","","D","13,114","100.00%","","","100,036","32.63%","","","","","","2008"
"2177",2178,"New Jersey","NJ","04","H8NJ04154","","Steven ","Welzer","Welzer, Steven ","","GRE","n/a","","","","3,543","1.16%","","","","","","2008"
"2179",2180,"New Jersey","NJ","05","H8NJ05094","(I)","Scott","Garrett","Garrett, Scott","","R","19,914","100.00%","","","172,653","55.87%","","","","","","2008"
"2181",2182,"New Jersey","NJ","05","H8NJ05094","","Dennis ","Shulman ","Shulman , Dennis ","","D","9,390","61.11%","","","131,033","42.40%","","","","","","2008"
"2182",2183,"New Jersey","NJ","05","H6NJ05155","","Camile M","Abate","Abate, Camile M","","D","4,861","31.64%","","","","","","","","","","2008"
"2183",2184,"New Jersey","NJ","05","H2NJ02060","","Roger","Bacon","Bacon, Roger","","D","1,114","7.25%","","","","","","","","","","2008"
"2185",2186,"New Jersey","NJ","05","H8NJ05102","","Ed","Fanning","Fanning, Ed","","GRE","n/a","","","","5,321","1.72%","","","","","","2008"
"2187",2188,"New Jersey","NJ","06","H8NJ03073","(I)","Frank, Jr.","Pallone","Pallone, Frank, Jr.","","D","18,609","100.00%","","","164,077","66.95%","","","","","","2008"
"2189",2190,"New Jersey","NJ","06","H8NJ06142","","Robert E.","McLeod","McLeod, Robert E.","","R","3,698","55.14%","","","77,469","31.61%","","","","","","2008"
"2190",2191,"New Jersey","NJ","06","H2NJ06111","","Peter ","Cerrato","Cerrato, Peter ","","R","1,946","29.02%","","","","","","","","","","2008"
"2191",2192,"New Jersey","NJ","06","H8NJ06134","","James P.","Hogan","Hogan, James P.","","R","1,062","15.84%","","","","","","","","","","2008"
"2193",2194,"New Jersey","NJ","06","H6NJ06211","","Herb","Tarbous","Tarbous, Herb","","RIN","n/a","","","","3,531","1.44%","","","","","","2008"
"2195",2196,"New Jersey","NJ","07","H6NJ07128","","Linda","Stender","Stender, Linda","","D","15,776","100.00%","","","124,818","42.22%","","","","","","2008"
"2197",2198,"New Jersey","NJ","07","H6NJ12136","","Leonard","Lance","Lance, Leonard","","R","10,094","39.47%","","","148,461","50.22%","","","","","","2008"
"2198",2199,"New Jersey","NJ","07","H8NJ07090","","Kate ","Whitman","Whitman, Kate ","","R","5,052","19.75%","","","","","","","","","","2008"
"2199",2200,"New Jersey","NJ","07","H8NJ07132","","P. Kelly ","Hatfield","Hatfield, P. Kelly ","","R","3,902","15.26%","","","","","","","","","","2008"
"2200",2201,"New Jersey","NJ","07","H8NJ07108","","Martin ","Marks","Marks, Martin ","","R","3,211","12.55%","","","","","","","","","","2008"
"2201",2202,"New Jersey","NJ","07","H8NJ07140","","Tom","Roughneen","Roughneen, Tom","","R","1,845","7.21%","","","","","","","","","","2008"
"2202",2203,"New Jersey","NJ","07","H8NJ07080","","Darren ","Young ","Young , Darren ","","R","1,232","4.82%","","","","","","","","","","2008"
"2203",2204,"New Jersey","NJ","07 ","H4NJ07073","","A.D. ","Amar","Amar, A.D. ","","R","241","0.94%","","","","","","","","","","2008"
"2205",2206,"New Jersey","NJ","07","H8NJ07132","","Michael P.","Hsing","Hsing, Michael P.","","HFC","n/a","","","","16,419","5.55%","","","","","","2008"
"2206",2207,"New Jersey","NJ","07","H8NJ07165","","Dean ","Greco","Greco, Dean ","","ADB","n/a","","","","3,259","1.10%","","","","","","2008"
"2207",2208,"New Jersey","NJ","07","H6NJ07136","","Thomas D.","Abrams","Abrams, Thomas D.","","PNW","n/a","","","","2,671","0.90%","","","","","","2008"
"2209",2210,"New Jersey","NJ","08","H6NJ08118","(I)","Bill, Jr.","Pascrell","Pascrell, Bill, Jr.","","D","19,948","100.00%","","","159,279","71.11%","","","","","","2008"
"2211",2212,"New Jersey","NJ","08","H8NJ08056","","Roland ","Straten","Straten, Roland ","","R","5,859","100.00%","","","63,107","28.17%","","","","","","2008"
"2213",2214,"New Jersey","NJ","08","H8NJ08064","","Derek","DeMarco","DeMarco, Derek","","LBT","n/a","","","","1,600","0.71%","","","","","","2008"
"2215",2216,"New Jersey","NJ","09","H6NJ09165","(I)","Steven R. ","Rothman","Rothman, Steven R. ","","D","25,418","100.00%","","","151,182","67.53%","","","","","","2008"
"2217",2218,"New Jersey","NJ","09","H6NJ09215","","Vincent ","Micco","Micco, Vincent ","","R","5,797","100.00%","","","69,503","31.04%","","","","","","2008"
"2219",2220,"New Jersey","NJ","09","H8NJ09112","","Michael","Perrone, Jr.","Perrone, Jr., Michael","","IPR","n/a","","","","3,200","1.43%","","","","","","2008"
"2221",2222,"New Jersey","NJ","10","H0NJ10026","(I)","Donald M. ","Payne","Payne, Donald M. ","","D","30,764","100.00%","","","169,945","98.92%","","","","","","2008"
"2223",2224,"New Jersey","NJ","10","H8NJ10128","","Michael","Taber","Taber, Michael","","SWP","n/a","","","","1,848","1.08%","","","","","","2008"
"2225",2226,"New Jersey","NJ","11","H2NJ05014","(I)","Rodney","Frelinghuysen","Frelinghuysen, Rodney","","R","24,304","86.69%","","","189,696","61.84%","","","","","","2008"
"2226",2227,"New Jersey","NJ","11","H8NJ11126","","Kate","Erber","Erber, Kate","","R","3,731","13.31%","","","","","","","","","","2008"
"2228",2229,"New Jersey","NJ","11","H6NJ11112","","Tom","Wyka","Wyka, Tom","","D","10,885","69.72%","","","113,510","37.01%","","","","","","2008"
"2229",2230,"New Jersey","NJ","11","H8NJ11092","","Ellen","Greenberg","Greenberg, Ellen","","D","2,456","15.73%","","","","","","","","","","2008"
"2230",2231,"New Jersey","NJ","11","H8NJ11118","","Gary ""Harry""","Hager","Hager, Gary ""Harry""","","D","2,271","14.55%","","","","","","","","","","2008"
"2232",2233,"New Jersey","NJ","11","H8NJ11100","","Chandler","Tedholm","Tedholm, Chandler","","FTP","n/a","","","","3,526","1.15%","","","","","","2008"
"2234",2235,"New Jersey","NJ","12","H6NJ12144","(I)","Rush","Holt","Holt, Rush","","D","23,653","100.00%","","","193,732","63.12%","","","","","","2008"
"2236",2237,"New Jersey","NJ","12","H8NJ12074","","Alan R. ","Bateman ","Bateman , Alan R. ","","R","9,718","100.00%","","","108,400","35.32%","","","","","","2008"
"2238",2239,"New Jersey","NJ","12","H8NJ12082","","David","Corsi","Corsi, David","","CMS","n/a","","","","4,802","1.56%","","","","","","2008"
"2240",2241,"New Jersey","NJ","13","H6NJ13191","(I)","Albio","Sires","Sires, Albio","","D","26,527","100.00%","","","120,382","75.36%","","","","","","2008"
"2242",2243,"New Jersey","NJ","13","H8NJ13106","","Joseph","Turula","Turula, Joseph","","R","1,739","100.00%","","","34,735","21.74%","","","","","","2008"
"2244",2245,"New Jersey","NJ","13","H8NJ13114","","Julio A.","Fernandez","Fernandez, Julio A.","","NSP","n/a","","","","3,661","2.29%","","","","","","2008"
"2245",2246,"New Jersey","NJ","13","H8NJ13122","","Louis","Vernotico","Vernotico, Louis","","ETP","n/a","","","","975","0.61%","","","","","","2008"
"2248",2249,"New Jersey","NJ","S","S2NJ00080","(I)","Frank","Lautenberg","Lautenberg, Frank","","D","203,012","58.92%","","","1,951,218","56.03%","","","","","","2008"
"2249",2250,"New Jersey","NJ","S","S8NJ00392","","Robert E.","Andrews","Andrews, Robert E.","","D","121,777","35.35%","","","","","","","","","","2008"
"2250",2251,"New Jersey","NJ","S","S2NJ00114","","Donald ","Cresitello","Cresitello, Donald ","","D ","19,743","5.73%","","","","","","","","","","2008"
"2252",2253,"New Jersey","NJ","S","S6NJ00131","","Dick","Zimmer","Zimmer, Dick","","R","84,663","45.82%","","","1,461,025","41.95%","","","","","","2008"
"2253",2254,"New Jersey","NJ","S","S8NJ00384","","Joseph ","Pennacchio","Pennacchio, Joseph ","","R","74,546","40.34%","","","","","","","","","","2008"
"2254",2255,"New Jersey","NJ","S","S8NJ00285","","Murray ","Sabrin","Sabrin, Murray ","","R","25,576","13.84%","","","","","","","","","","2008"
"2256",2257,"New Jersey","NJ","S","S8NJ00434","","Jason","Scheurer","Scheurer, Jason","","LBT","n/a","","","","18,810","0.54%","","","","","","2008"
"2257",2258,"New Jersey","NJ","S","S8NJ00145","","J. M.","Carter","Carter, J. M.","","GWT","n/a","","","","15,935","0.46%","","","","","","2008"
"2258",2259,"New Jersey","NJ","S","S6NJ00313","","Daryl Mikell","Brooks","Brooks, Daryl Mikell","","PPC","n/a","","","","15,925","0.46%","","","","","","2008"
"2259",2260,"New Jersey","NJ","S","S8NJ00418","","Jeffrey","Boss","Boss, Jeffrey","","BFS","n/a","","","","10,345","0.30%","","","","","","2008"
"2260",2261,"New Jersey","NJ","S","S8NJ00426","","Sara J.","Lobman","Lobman, Sara J.","","SWP","n/a","","","","9,187","0.26%","","","","","","2008"
"2262",2263,"New Mexico","NM","01","H8NM01224","","Martin T. ","Heinrich","Heinrich, Martin T. ","","D","22,341","43.51%","","","166,271","55.65%","","","","","","2008"
"2263",2264,"New Mexico","NM","01","H8NM01315","","Rebecca D. ","Vigil-Giron","Vigil-Giron, Rebecca D. ","","D","12,660","24.66%","","","","","","","","","","2008"
"2264",2265,"New Mexico","NM","01","H8NM01257","","Michelle Lujan","Grisham","Grisham, Michelle Lujan","","D","12,074","23.51%","","","","","","","","","","2008"
"2265",2266,"New Mexico","NM","01","H8NM01299","","Robert L. ","Pidcock","Pidcock, Robert L. ","","D","4,273","8.32%","","","","","","","","","","2008"
"2267",2268,"New Mexico","NM","01","H8NM01273","","Darren ","White","White, Darren ","","R","37,060","81.80%","","","132,485","44.35%","","","","","","2008"
"2268",2269,"New Mexico","NM","01","H8NM01281","","Joseph J. ","Carraro","Carraro, Joseph J. ","","R","8,246","18.20%","","","","","","","","","","2008"
"2271",2272,"New Mexico","NM","02","H8NM02032","","Harry ","Teague","Teague, Harry ","","D","20,281","52.17%","","","129,572","55.96%","","","","","","2008"
"2272",2273,"New Mexico","NM","02","H8NM02024","","Bill","McCamley","McCamley, Bill","","D","18,597","47.83%","","","","","","","","","","2008"
"2274",2275,"New Mexico","NM","02","H2NM02134","","Edward R. ","Tinsley","Tinsley, Edward R. ","","R","11,510","31.60%","","","101,980","44.04%","","","","","","2008"
"2275",2276,"New Mexico","NM","02","H8NM02073","","Monty ","Newman","Newman, Monty ","","R","7,486","20.56%","","","","","","","","","","2008"
"2276",2277,"New Mexico","NM","02","H8NM02065","","Aubrey ","Dunn","Dunn, Aubrey ","","R","7,341","20.16%","","","","","","","","","","2008"
"2277",2278,"New Mexico","NM","02","H6NM02077","","Greg ","Sowards","Sowards, Greg ","","R","6,468","17.76%","","","","","","","","","","2008"
"2278",2279,"New Mexico","NM","02","H2NM02118","","C. Earl ","Greer","Greer, C. Earl ","","R","3,614","9.92%","","","","","","","","","","2008"
"2281",2282,"New Mexico","NM","03","H8NM03196","","Ben R. ","Lujan","Lujan, Ben R. ","","D","26,775","41.53%","","","161,292","56.74%","","","","","","2008"
